video_id,trending_date,title,channel_title,category_id,views,likes,dislikes,comment_count
UUQkl9WwrDQ,17.26.12,Babu Gogineni Vs Venu Swamy on Astrology | Prime Time With Mahaa Murthy | Mahaa News,Mahaa News,25,1202255,6984,964,3148
yef_HfQoBd8,17.27.11,Black Mirror - Arkangel | Official Trailer [HD] | Netflix,Netflix,24,1776191,21783,1286,2426
#NAME?,18.04.06,பிரபல வாணி ராணி சீரியல் நடிகை விபச்சாரத்தின் போது போலீஸ் அதிரடி கைது ! VAANI RANI | actress sangeeth,Connecting,24,317985,620,278,82
JBDWIGpKnwM,17.10.12,Dude vs. Wild - Nevada Mountains,nigahiga,24,2090215,133668,1762,14250
GubpY7QotGY,17.22.11,"#506 iPhone Dual Sim, Vivo V7, Aadhar OTP to SIM, Padmavati, Note 5, ROG Strix, Op3 8.0, Vivo V7",Sharmaji Technical,28,80337,7169,313,2757
5VBF-UnJQPA,18.15.01,ശ്രീജിത്തിന്റെ അടുത്ത് ആളാവാൻ എത്തിയ രമേശ് ചെന്നിത്തലയെ ആട്ടിപ്പായിച്ച് നാട്ടുകാർ,Malayalam News Time,22,60502,1019,23,163
flgC_W43Qjg,18.30.01,Uppum Mulakum│Flowers│EP# 527,Flowers Comedy,24,1018981,5845,796,874
#NAME?,17.06.12,Shashi Kapoor passes away at 79  | FilmiBeat,FilmiBeat,24,64834,288,29,56
jwySwh-rjiE,18.03.04,జగన్ కు ఫోన్ చేసి మొరపెట్టుకున్న మంత్రి అఖిలప్రియ| Minister Akhila Priya Phone Call to YS Jagan..!,Amaravathi Media,25,325802,1753,526,195
Mdyfkl47PWY,17.31.12,Sindhionism : NEW YEAR CELEBRATIONS | 2017,Sindhionism,23,27044,2232,17,242
pnMQLrS5sTE,18.09.06,Guru Randhawa: MADE IN INDIA | Bhushan Kumar | DirectorGifty | Elnaaz Norouzi | Vee,T-Series,10,23345196,618776,39821,48371
O0BhCqOFZGo,18.15.03,Anubhavinchu Raja | 10th March 2018 | Full Episode 03 | Shekar Master | ETV Plus,ETV Plus India,23,2118043,9659,1979,1477
KM5Kr_3di_w,18.05.06,കെവിന്‍റെ കഥ ; നീനുവും ജോസഫും അനീഷും പറയുന്നു | Kevinte Kadha | Manorama News,Manorama News,25,846679,5232,767,920
CPEipWZQLno,18.25.01,लोगों का फूटा गुस्सा बीजेपी संसद पर बरसने लगे जूते चप्पल | Bjp Member of Parliament Walk Out,World Best News,25,140992,942,355,153
Tl9SqlU9FHg,17.28.12,"Liberty Song (Cement Kaadu) - Video Song | Aruvi | Arun Prabu | Bindhu Malini, Vedanth",Dream Warrior Pictures,10,140993,3289,34,77
xhybjeRciYg,17.08.12,Portrait Mode: Explained!,Marques Brownlee,28,1354278,58865,972,6342
RIL--Uzmu0Y,18.12.05,చెప్పకూడనివి చాలా చేసావ్ నేనే సెన్సార్ చేసేశా - Latest Telugu Movie Scenes - Bhavani HD Movies,Bhavani HD Movies,1,140399,492,58,34
_F6Jcs1M-3I,18.25.05,Sudeep Says Prem Is Romantic | No 1 Yaari With Shivanna | Viu India,Viu India,24,88856,864,49,35
F6OzZyRL9nA,18.31.03,நண்பருடன் படகில் ஏறி இந்தியாவுக்குத் தப்பிவந்த துபாய் இளவரசி,Polimer News,25,147211,1445,131,131
SII2wYwmCZs,18.07.04,Parbhani Shahid Shubham Mustapur's Friends Reaction On His Funeral,ZEE 24 TAAS,25,268422,1192,82,91
ekvi8tVYem0,18.10.06,Dhruva Natchathiram - Official Teaser | Chiyaan Vikram | Gautham Vasudev Menon | Harris Jayaraj,Sony Music India,10,5463475,191467,3065,10308
ub6B1L35DS8,17.30.11,Saptagiri LLB Trailer || Saptagiri LLB Movie Trailer || Saptagiri LLB official Trailer || Sapthagiri,Telugu Video Gallery,24,220176,146,86,28
nG_Fzgphx78,18.27.05,"Kumkum Bhagya - कुमकुम भाग्य - Episode 1107  - May 25, 2018 - Webisode",Zee TV,24,835922,3451,854,148
6RkjyIXzErA,17.19.11,"Mission IAS : 18 November, 2017 The Hindu Daily Editorial Discussion",only ias,27,28634,0,0,0
AeJ6xTBXA7w,18.19.03,पहला नवरात्री स्पेशल ( माता रानी कथा ) भक्त श्रीधर के घर माता वैष्णो आई गजब हो गया | Pooja Sayak,Rathore Cassettes,10,3337235,8916,2637,1512
4wLxfm7SJl8,18.23.01,Pawan Kalyan about Kathi Mahesh Issue in Karimnagar Fans Meet | Pawan Vs Kathi Mahesh | YOYO TV,YOYO TV Channel,25,212768,2248,268,253
MHlxLGBb8l4,18.29.05,"Lagira Zhala Jee - Episode 344  - May 28, 2018 - Preview",Ditto TV,24,158078,553,38,13
IjiwFCe2mvI,18.18.04,Jeevitha Rajasekhar about Sri Reddy Comments on Pawan Kalyan | Tollywood Casting Couch,Top Telugu TV,24,61054,712,26,74
rZYI9pR16kA,18.12.06,Sunday Suspense | Khudhito Pashan | Rabindranath Tagore | Mirchi 98.3,Mirchi Bangla,24,81964,2858,182,674
SairuI4B1Hk,18.27.03,Extra Jabardasth | 30th March 2018  | | Latest Promo,ETV Jabardasth,22,198685,1313,91,83
cm7VF6ULskQ,17.25.11,EXCLUSIVE PICTURES of Cricketer Bhuvneshwar Kumar getting married,ABP NEWS,22,130224,903,39,33
Ujfk3_mPDas,17.17.12,Bakchodi in Lift - TST - Bakchodi Ki Hadd,TroubleSeekerTeam,23,199477,20282,821,1266
Ce4qkWyUBKI,18.02.03,Top Actress Sridevi Makeup Man Emotional Outburst|Unknown Facts||Filmy Poster,Filmy Poster,24,701939,1610,334,70
ElkmMsTGvRw,18.26.05,Pyaar Lafzon Mein Kahan Episode 64,Pyaar Lafzon Mein Kahan,1,1835901,20028,960,3432
an3-_6R0Q5o,18.28.02,"శ్రీదేవి వైరల్ వీడియో : ఇదే చివరి జ్ఞాపకం, ఫ్యాన్స్ ఉద్వేగం!  || News cabin",News Cabin,24,345119,409,157,30
XVsEuEN-9Z8,18.23.05,High Rated Gabru Lyrical Video Song | Guru Randhawa | T-Series,T-Series,10,300247,7839,607,947
MRGOhfutS4A,18.11.05,khajurbhai as રિક્ષાવાળો - IPL ni moj p.7,Khajur Bhai Ni Moj,23,462957,6562,373,291
EL-iJP7UXRU,18.03.02,"SUCCESS PARTY में पहली बार एक साथ Pawan Singh, Nirahua, अम्रपाली ,अक्षरा, कल्लू ,मोनालिसा और निधि झा",Wave Music,10,608424,4007,672,405
Beq8MqAmbgk,18.27.01,"Bhabi Ji Ghar Par Hain - भाबीजी घर पर हैं - Episode 760  - January 25, 2018 - Webisode",And TV,24,70452,372,45,17
Gc_BnMrFhPc,17.18.11,Arnold VS Megalodon,Meet Arnold,22,1183659,49506,1117,4594
KNW2X4zKlkM,18.13.03,"Ravish Kumar Prime Time , 9 March18 , NDTV को ban / बंद कर देते हैं ,बैंक सीरीज का असर शुरू",Voice of Dissent,25,337670,13103,507,2069
lraeia5ZHt0,18.29.01,Never Try To Pull Someone Down | SahibNoor Singh,SahibNoor Singh,24,241830,21883,760,1244
WSEdCMHiUlg,17.23.11,Vamsam - வம்சம் | Climax Episode | Tamil Serial | Sun TV  | 18/11/2017 | Vision Time,VisionTimeTamil,24,583527,2989,561,551
izyX4qtsVew,18.30.01,"WHEN WE FIRST MET Official Trailer (2018) Alexandra Daddario, Netflix Movie HD",ONE Media,1,534831,8581,228,275
oxVySnXcZQA,18.10.06,United Nations Security Council Vote 2018 - India's Vote - Maldives or Indonesia - Geopolitics,Study IQ education,27,50417,2365,48,338
0dpIo2RExZc,18.27.01,ആദി കണ്ടിറങ്ങിയ മമ്മൂട്ടിയുടെ പ്രതികരണം വൈറല്‍ ആകുന്നു - ഡാ അപ്പൂ നീ കലക്കി,Malayalam News Time,22,175303,0,0,28
a4oVaZ2O8iI,18.13.06,Guru Randhawa - Made in India - Behind the scenes,Guru Randhawa,10,1207601,19792,984,1510
qkzn6RcrSYk,18.15.05,வாணி ராணி - VAANI RANI -  Episode 1567 - 14/5/2018,RadaanMedia,24,276395,1328,420,201
cWmPLxhlxRU,18.27.03,Pawan Kalyan Speech @ Chal Mohan Ranga Pre Release Event || Nithiin,NTV Telugu,25,1030117,15141,939,1130
nacCsOW-IrI,18.12.01,"தற்காலிக ஓட்டுநராக மாறிய பேருந்து பயணி, அச்சமடைந்த பிற பயணிகள்",Polimer News,25,38974,428,16,18
x5q5PXHc2AU,18.27.01,Yaar Mere (Full Video ) | Jagveer Gill | Parmish Verma | Desi Crew | New Punjabi Songs 2018,Lokdhun Punjabi,10,1739927,31442,701,1463
dmYghbivxWQ,18.11.05,The Best Birthday | RealSHIT,RealSHIT,24,1085494,111054,2966,8839
lJGV_P8VVOM,18.13.06,வாணி ராணி - VAANI RANI -  Episode 1591 - 11/6/2018,RadaanMedia,24,494000,2363,504,329
68nJwAd-HkQ,18.28.05,Azhagu - Tamil Serial | அழகு | Episode 157 | Sun TV Serials | 26 May 2018 | Revathy | Vision Time,Vision Time Tamil,24,311855,1420,367,219
tLX5_CghzpQ,18.23.03,Kapil Offers Ice Cream To Shakira - Jodi Kamaal Ki,SET India,24,267790,1944,159,84
kmwk1iQAWlg,18.03.04,Nandhini Promo | Today at 9pm | Sun TV,SunTV Tamil,22,180728,808,57,67
5YVoiSpnXJU,18.22.05,7 AM ETV Telugu News | 21st May 2018,ETV Andhra Pradesh,25,126514,509,98,18
#NAME?,17.16.12,Every Extrovert Ammayi Ever | Girl Formula | Chai Bisket,Girl Formula,24,95640,2447,124,251
X7Rrqtsp0jI,17.30.12,Feel My Love Video Song | Idi Maa Prema Katha Movie Songs | Anchor Ravi | Meghana | Mango Music,Mango Music,10,48498,681,57,47
eYbb0CZjF78,17.13.12,Never Insult a Desi | SahibNoor Singh,SahibNoor Singh,24,328051,17206,1018,1528
V00PcEnXc7k,18.07.03,Kehne Ko Humsafar Hain | Ronit Bose Roy| Mona Singh| Gurdeep Kohli| Web Series| Streaming 16th March,ALTBalaji,24,2028759,2024,717,160
8OwO2zyz55U,18.27.01,Medaram Jathara || Sammakka Sarakka || Full HD Song || Mangli || Mictv ||,Mictv In,24,903882,11263,740,919
iSxCEKuM5yo,18.24.01,Shrimad Bhagwat Katha || Day -7 || Lucknow ||,Shri Devkinandan Thakur Ji,22,33675,3084,98,161
le-5uUfp5Vk,18.26.01,NASBANDI KARWALO - Bakchodi Ki Hadd ep21 - TST,TroubleSeekerTeam,23,394418,23614,854,1513
I69o8N2alSs,17.30.11,ఇవాంక రాకతో రామ్ చరణ్ కి ఘనస్వాగతం ప్రభాస్ కి అవమానం | Ram Charan | Prabhas | Ivanka #9Roses Media,9Roses Media,24,908010,2618,1528,618
Og7NUPoS9JU,18.04.04,Kalakkapovadhu Yaaru | Grand Finale,Vijay Television,43,831626,8235,389,221
ogBL0952thY,18.31.05,This Weekend will be a fun blast with Ali & Anasuya on #SixthSense..This Sat & Sun at 9:30 PM,Star Maa,24,391448,2656,215,319
27F2IJ-ufqE,18.31.03,Dr John Wesly's Good Friday Message 2018|| Must Watch,Young Holy Team,10,45788,1283,67,162
G90kJlY8AHw,18.01.01,Uppum Mulakum│Flowers│EP# 507,Flowers Comedy,24,647458,3838,420,890
xl1s1nLv2Kw,17.09.12,"Deivamagal Episode 1409, 08/12/17",VikatanTV,43,609998,3070,903,431
8FNTBgdQtnU,18.04.03,Middle Class से निकल कर अमीर कैसे बनें ? How to go into Upper Income class? TsMadaan,TsMadaan,26,36718,1882,86,162
dmFn1A969MI,17.30.11,Hyderabad: Ivanka Trump Energetic Speech Live From HICC | Global Entrepreneurship Summit,RAJ NEWS Telugu,25,105956,720,42,81
BUobY0YtF48,18.09.06,"Party Chale On Song Video - Race 3 | Salman Khan | Mika Singh, Iulia Vantur | Vicky-Hardik",Tips Official,10,3320921,102581,17618,14091
g1uh6yq2VKg,18.11.05,Raja Rani | 10th to 11th May 2018 - Promo 2,Vijay Television,24,475217,1796,365,206
hq4zK6RaGvU,18.30.04,"Radhika | Chai Bisket Originals | Ft. Suhas, Sri Vidya",Chai Bisket,24,252294,5861,624,929
Au4v4yradhI,17.09.12,కోటిరూపాయలు పెట్టి కొనుకున్న ఇల్లు.. కేవలం 4 రోజుల్లో ఏం జరిగిందో చూడండి HOTNEWS TELUGU,HOTNEWS TELUGU,25,378086,645,244,42
lJsIVSck0jE,18.08.01,ప్రదీప్ పై శేఖర్ మాస్టర్ షాకింగ్ కామెంట్స్|Dhee10 SekharMaster Shocking Comments OnPradeep|GARAMCHAI,Garam Chai,24,879371,1556,1692,529
#NAME?,18.25.03,આપણી ગામડા ની બાયુ ની પંચાત || dhaval domadiya,Dhaval Domadiya,23,385253,7623,341,391
ov-2Uj1LHxY,18.28.01,ఈ అమ్మాయి ఇచ్చిన ఐడియా కి పవన్ ఆశ్చర్యపోయాడు ! | Pawan Kalyan Shocked Over This Girl Ideas | hmtv,hmtv News,25,120164,1851,101,214
KdeuwsEgqRo,18.03.01,Aadhaar Card Re Sukuti Sahu | Full Video Song | LAILA O LAILA | Swaraj & Sunmeera,Sarthak Music,24,264847,3634,259,198
zUWZtSSZfsc,18.17.03,"Lakshmi Telugu Teaser || Lakshmi Telugu Movie Latest Trailer | Prabhu Deva, Aishwarya Rajesh || 2018",Volga Video,24,179409,1614,92,33
